"identificador de la publicación","Identificador de la página","Nombre de la página",Título,Descripción,"Duración (segundos)","Hora de publicación","Tipo de subtítulo","Enlace permanente","Se usa en varias publicaciones","Tipo de publicación",Idiomas,"Etiquetas personalizadas","Estado ""Contenido financiado""",Comentario,Fecha,Impresiones,Comentarios,"Me gusta","Veces compartido",Interacciones,"Visualizaciones de fotos","Otros clics","Clics en el enlace","Segundos reproducidos de media","Total de clics","Personas alcanzadas","Tiempo medio dedicado al artículo","Segundos reproducidos","Reproducción de vídeo de 3 segundos","Profundidad de desplazamiento diaria en el artículo","Reproducciones de vídeo de 60 segundos","Comentarios negativos únicos de los usuarios: Ocultar"
421644502818158,103185414664070,"Philosophical Gym Bro","Law School Memes for Edgy T14s 🙅🏾‍♂️🙅🏾‍♀️",,0,"11/06/2021 02:11",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid0PpS7d5rGtSkEcrspRoDwj1coNn9pPtZz65xZgtYvgsfHQW1SzjhmqdquyjsG3g8rl,0,Otro,,,,,Total,1174,0,56,7,63,23,49,,0,72,1147,0,0,0,0,0,
421649839484291,103185414664070,"Philosophical Gym Bro","Law School Memes for Edgy T14s 🙅🏾‍♂️🙅🏾‍♀️",">Thinking solipsists aren't right about everything

*solipsist",0,"11/06/2021 02:11",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid0H8X5uD2oKWNbJLNDKA7rqWWpYfKM61YgaTB8qfm11pbSPLJPi3zMFzHZqRcBwgn5l,0,Otro,,,,,Total,1062,0,28,0,28,23,18,,0,41,1058,0,0,0,0,0,
421667019482573,103185414664070,"Philosophical Gym Bro","Actualización de estado",,0,"11/06/2021 03:11",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid0f2xg4qs33V48PNQ725BTdsMuXt8ay2gT2SsX2ecTTnFjUFrdw1xDSkAJqP1KTBVRl,0,Foto,,,,,Total,481,1,32,2,35,10,25,1,0,36,459,0,0,0,0,0,
421991912783417,103185414664070,"Philosophical Gym Bro",,"Highly relatable OC",0,"11/06/2021 14:11",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid02ZdCXEbFUFGRpWffLLbyTmMZYXc6GigUqy8fnMJ4y39k4eT7JV8BoHHa4cP2k6JnBl,0,Foto,,,,,Total,5266,10,197,24,231,290,325,,0,615,4935,0,0,0,0,0,
422076086108333,103185414664070,"Philosophical Gym Bro","Actualización de estado",,0,"11/06/2021 18:11",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid03w4oFwjYDdq2zTa2bYpCwtrBVFS2cYeoeYq7AWf5Nq81wsJ21ge9bPWarCVSctURl,0,Foto,,,,,Total,1017,0,70,10,80,29,47,,0,76,987,0,0,0,0,0,
422518419397433,103185414664070,"Philosophical Gym Bro","Sigmund Freud's Dank Meme Stash 2: Daddy's Return",,0,"11/07/2021 10:11",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid02Uz74ZywguJ21AtuRhjDMYgXueF5eWj3XCdFbAHw4MVjb83RFFm4mb7PTt9azgRVcl,0,Otro,,,,,Total,1039,2,39,3,44,12,26,,0,38,1036,0,0,0,0,0,
422690152713593,103185414664070,"Philosophical Gym Bro",,"When you start talking to the calcified masses about possible worlds and all you get is that incredulous stare...",0,"11/07/2021 18:11",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid02U861FAGui861PPgq1vzovPfaDaivv8hV1ias86du5PQ8PVNFwdjKoChX8AqGvTSHl,0,Foto,,,,,Total,8368,49,256,37,342,260,275,,0,535,7309,0,0,0,0,0,
422993426016599,103185414664070,"Philosophical Gym Bro","G.W.F. Hegel's Dialectic Depository for Spiritually Elevated Teens 🦉",,0,"11/08/2021 06:11",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid0mKqC1xS4j7EirD1GufUsiD1vST3ejKwsbVabAB1KH46rWJ9THicSJ7hKn1GZHjPYl,0,Otro,,,,,Total,1308,2,53,6,61,14,79,,0,93,1307,0,0,0,0,0,
423030766012865,103185414664070,"Philosophical Gym Bro","Actualización de estado",,0,"11/08/2021 07:11",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid0UduJDiDYatSRwWRSa8uWQUARCLd6L3kXYYrMznUX9t2avupnTkMqJkYWuPC4KnhWl,0,Foto,,,,,Total,902,1,30,1,32,9,40,,0,49,883,0,0,0,0,0,
423674199281855,103185414664070,"Philosophical Gym Bro","Actualización de estado",,0,"11/09/2021 08:11",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid0teDs2kyND8aDpKvDJxu3ytXhVqLZtqPitxBaMAGwDmgwpHuPnprYFDQgASaNj1grl,0,Foto,,,,,Total,1212,1,43,1,45,93,101,,0,194,1211,0,0,0,0,0,
424324375883504,103185414664070,"Philosophical Gym Bro","Actualización de estado",,0,"11/10/2021 11:11",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid022aYS7mYKSxxV18YzM2RG25jZfRhPfXfqGhnjvXDETMtiHuPWWZ6juVQDsaEvQAzGl,0,Foto,,,,,Total,795,0,18,4,22,19,24,,0,43,795,0,0,0,0,0,
424361245879817,103185414664070,"Philosophical Gym Bro","Actualización de estado",,0,"11/10/2021 12:11",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid0UdnzGk6sVnHzsrCsc36L76PJ9ddBtDRwofjhaie9XHaHopHDtvd84zjXqYgPoXZXl,0,Foto,,,,,Total,1304,1,34,10,45,94,105,,0,199,1288,0,0,0,0,0,
424886552493953,103185414664070,"Philosophical Gym Bro","Actualización de estado",,0,"11/11/2021 08:11",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid0QiXYezVsZVtKk1sKpjkoV9NjSddT94KA8nyGMDy5ePQSnd9HLTBwLBbK84rzvYn8l,0,Foto,,,,,Total,913,0,29,2,31,24,24,1,0,49,889,0,0,0,0,0,
425042859144989,103185414664070,"Philosophical Gym Bro","Actualización de estado",,0,"11/11/2021 14:11",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid02cM1PxDChu7pFxiuENo1Kozv7nFqtdXaByTDYNdD2rEXns4jv76JRn4BWNHaZkXjXl,0,Foto,,,,,Total,1179,1,26,8,35,81,77,,0,158,1141,0,0,0,0,0,
425176065798335,103185414664070,"Philosophical Gym Bro","Actualización de estado",,0,"11/11/2021 19:11",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid02EvJiTHiKpWuN3yiCwz9fibrd3jytPgov8rKxh54hdhRZbAkifDsonkhPPJPj1ZoPl,0,Foto,,,,,Total,701,0,13,0,13,8,14,,0,22,686,0,0,0,0,0,
425177405798201,103185414664070,"Philosophical Gym Bro",,"Forgive me the lame quote post, but I think about this every year:

""I will come to a time in my backwards trip when November eleventh, accidentally my birthday, was a sacred day called Armistice Day. When I was a boy, all the people of all the nations which had fought in the First World War were silent during the eleventh minute of the eleventh hour of Armistice Day, which was the eleventh day of the eleventh month.
It was during that minute in nineteen hundred and eighteen, that millions upon millions of human beings stopped butchering one another. I have talked to old men who were on battlefields during that minute. They have told me in one way or another that the sudden silence was the Voice of God. So we still have among us some men who can remember when God spoke clearly to mankind.
Armistice Day has become Veterans' Day. Armistice Day was sacred. Veterans' Day is not.
So I will throw Veterans' Day over my shoulder. Armistice Day I will keep. I don't want to throw away any sacred things.""
-Kurt Vonnegut, Breakfast of Champions",0,"11/11/2021 20:11",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid02EyoQhms7XiP2Rv7hrNjavjZQj6tJRt1R45cRprZk5Mhc7cpVnntbEayiHcfmrQR7l,0,Texto,,,,,Total,379,0,4,1,5,,2,,0,2,359,0,0,0,0,0,
425916892390919,103185414664070,"Philosophical Gym Bro","Actualización de estado",,0,"11/13/2021 00:11",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid02GKtMQgVyK4G7BEQEiqQXcrjsxtjhguXLpTmMwvPhYpb8hVv23VMvwg6UVrUS58wul,0,Foto,,,,,Total,505,2,13,1,16,14,39,6,0,59,489,0,0,0,0,0,
425963762386232,103185414664070,"Philosophical Gym Bro","Actualización de estado",,0,"11/13/2021 02:11",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid02dzEqCAyHH3FSqAuPJp3m8dJCafxZYRVxXifbjiDsacV9rnovnyCmEiyxd3tqx6f5l,0,Foto,,,,,Total,421,1,15,1,17,27,16,,0,43,398,0,0,0,0,0,
426391189010156,103185414664070,"Philosophical Gym Bro","Actualización de estado",,0,"11/13/2021 17:11",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid0X9UmVsH86pPHWa2JrZLEWNSH318XpqUg879FYp2cHkamiXc6GYEYnxfnYNrrokmJl,0,Foto,,,,,Total,853,0,33,3,36,9,15,,0,24,846,0,0,0,0,0,
