"identificador de la publicación","Identificador de la página","Nombre de la página",Título,Descripción,"Duración (segundos)","Hora de publicación","Tipo de subtítulo","Enlace permanente","Se usa en varias publicaciones","Tipo de publicación",Idiomas,"Etiquetas personalizadas","Estado ""Contenido financiado""",Comentario,Fecha,Impresiones,"Personas alcanzadas",Interacciones,"Veces compartido","Me gusta",Comentarios,"Segundos reproducidos","Reproducciones de vídeo de 60 segundos","Reproducción de vídeo de 3 segundos","Segundos reproducidos de media","Total de clics","Otros clics","Visualizaciones de fotos","Clics en el enlace","Tiempo medio dedicado al artículo","Profundidad de desplazamiento diaria en el artículo","Comentarios negativos únicos de los usuarios: Ocultar todo"
625907846204435,103185414664070,"Philosophical Gym Bro",,"Hmm... 🤔 But we think you look just touch-fine. So long as you're safe about it, I guess.",0,"01/21/2023 07:01",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid02uEXD2eDMEePSMiBX5vcFy81ARZGRriW4VEHMZ3yewe8gZvXQxtLdB4RbhiVM22tLl,0,Foto,,,,,Total,775,681,4,0,4,0,0,0,0,0,11,2,9,,0,0,
626077676187452,103185414664070,"Philosophical Gym Bro",,O.C.,0,"01/21/2023 12:01",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid09nVwiYF6P4CgbeQ8V7By6C9VD7srRwdu2ifL9ZarF5VJNc7fNGYgzBirp3BwWjFJl,0,Foto,,,,,Total,3343,3255,141,16,119,6,0,0,0,0,251,166,85,,0,0,
626880576107162,103185414664070,"Philosophical Gym Bro",,"FREE WILL TOTALLY EXISTS! IT'S NOT JUST AN INCOHERENT FANTASY THAT I MADE UP AS A WAY TO PRESERVE MY SELF IMAGE",0,"01/22/2023 12:01",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid023n1UHNLzgSMj4oSuf4UqFu9ayHCYJJRoqEuxX23CBhab9eXdCbk8yWo2PyRECLNAl,0,Foto,,,,,Total,2219,2141,159,10,105,44,0,0,0,0,248,183,65,,0,0,
627061096089110,103185414664070,"Philosophical Gym Bro",,,0,"01/22/2023 18:01",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid0qGkAWgnoDdJspwhnWRaT3B5Rw96qAX8oyWDCbaL3eGkXLTc52gRDaDrPUUqzcxthl,0,Foto,,,,,Total,1722,1698,57,1,50,6,0,0,0,0,125,81,44,,0,0,
627512336043986,103185414664070,"Philosophical Gym Bro",,,0,"01/23/2023 07:01",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid0sffFSUp877mtRM7P5pGjVqjFxhSjYU5eCsjRuKjF5PLtSMa7nuLoqEUHhLq6L9MNl,0,Foto,,,,,Total,2683,2570,79,11,65,3,0,0,0,0,219,85,134,,0,0,
627779596017260,103185414664070,"Philosophical Gym Bro","Actualización de estado",,0,"01/23/2023 14:01",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid031zsv9j5pdd5bRQx3VLoQaMpwgzLihCJTNQUXMHqih6Um4D1sKNdXummQpGyUAQrl,0,Foto,,,,,Total,1487,1487,27,1,25,1,0,0,0,0,106,49,57,,0,0,
627919749336578,103185414664070,"Philosophical Gym Bro","Actualización de estado","Carbs bad",0,"01/23/2023 19:01",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid0ysWLuoPKQVaUQ8kupgHyZW3BesVoqA75575n4x9sdMcAFM6bq8WVdcMCYUBsVNT5l,0,Foto,,,,,Total,3095,3014,110,6,92,12,0,0,0,0,353,256,97,,0,0,
628567072605179,103185414664070,"Philosophical Gym Bro","Actualización de estado",,0,"01/24/2023 11:01",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid04ZLDchTdPUpjUik6SoNA8TstfDUaTDuRZv1GZ5Px5xa6sDbsguZCxKX1rJpESTvml,0,Foto,,,,,Total,1363,1295,18,2,12,4,0,0,0,0,22,8,14,,0,0,
628579615937258,103185414664070,"Philosophical Gym Bro","Actualización de estado",,0,"01/24/2023 11:01",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid0AYQGAn1Pk7MhwwwPomJD7CnKeHLao94ijnQYEMKoHHt1qDZRQZQVpw548VbTKf4Vl,0,Foto,,,,,Total,799,763,23,1,22,0,0,0,0,0,97,46,51,,0,0,
628644519264101,103185414664070,"Philosophical Gym Bro","Actualización de estado",,0,"01/24/2023 14:01",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid023jpndKFW7hZwb1sHSbEFQTnYfy4ZuthLeC9ehcFX2bDSdwbGafoHP6mMfC3Q3VXal,0,Foto,,,,,Total,2481,2366,57,5,52,0,0,0,0,0,611,129,482,,0,0,
629480059180547,103185414664070,"Philosophical Gym Bro","Actualización de estado","The Zoomer adaptation of the Illiad is inevitable. You have been warned.",0,"01/25/2023 14:01",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid02LxDvE739GZSyryybfsMZ6mxpjLxnmKi3GxdgL2y4zvmE9mSih4B88j8VkuYgX3npl,0,Foto,,,,,Total,1688,1641,66,10,52,4,0,0,0,0,74,43,31,,0,0,
629679992493887,103185414664070,"Philosophical Gym Bro","Actualización de estado",,0,"01/25/2023 20:01",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid0HojZ2fmuPuhS35m3yBEZS2GFiRsz7P8h7KZ3K5HLdGKfjzs9LhUEyS4LWWvhVnJal,0,Foto,,,,,Total,1428,1404,37,7,30,0,0,0,0,0,75,25,50,,0,0,
