"identificador de la publicación","Identificador de la página","Nombre de la página",Título,Descripción,"Duración (segundos)","Hora de publicación","Tipo de subtítulo","Enlace permanente","Se usa en varias publicaciones","Tipo de publicación",Idiomas,"Etiquetas personalizadas","Estado ""Contenido financiado""",Comentario,Fecha,"Profundidad de desplazamiento diaria en el artículo","Tiempo medio dedicado al artículo","Otros clics","Visualizaciones de fotos","Clics en el enlace","Total de clics","Segundos reproducidos de media","Reproducciones de vídeo de 60 segundos","Reproducción de vídeo de 3 segundos","Segundos reproducidos",Comentarios,"Me gusta","Veces compartido",Interacciones,"Personas alcanzadas",Impresiones,"Comentarios negativos únicos de los usuarios: Ocultar","Comentarios negativos únicos de los usuarios: Ocultar todo"
485221826460425,103185414664070,"Philosophical Gym Bro",,"Pyruvate lil beitch 
OC",0,"02/18/2022 20:02",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid02rZXrpEpXG2k4td8A9b9Z1qDfcoDr6gGFZt92v7YZwKDGVmgkM8ED9bGHAC9rtWZQl,0,Foto,,,,,Total,0,0,21,8,,29,0,0,0,0,1,35,5,41,1458,1543,,
485642539751687,103185414664070,"Philosophical Gym Bro",,,0,"02/19/2022 12:02",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid02B6hyzj5tVa4MjqqZvHnQYbaGcn7tdLywcfuUWMauLjPMchRgmcyuTQNQ7VDBwJcVl,0,Foto,,,,,Total,0,0,8,26,,34,0,0,0,0,0,53,1,54,1526,1547,,
485826379733303,103185414664070,"Philosophical Gym Bro",,"""Bruh you're like 3 hours late bringing the acetyl group. What were you doing?
OC",0,"02/19/2022 20:02",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid02pqw5hQW4b3yjopjs4VS5ehk1bcLDoSBQitx13Zsdq4sSrNdkMA9NAYuGuNB9KByfl,0,Foto,,,,,Total,0,0,1,5,,6,0,0,0,0,1,4,2,7,1122,1130,,
486438353005439,103185414664070,"Philosophical Gym Bro",,,0,"02/20/2022 21:02",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid0U9VmNuMXPAUxvHbchcqwHXkbvzM3taTAqP2uxqVceF4WdiUmPoTtQd5a7cQPp7Pol,0,Foto,,,,,Total,0,0,3265,873,,4138,0,0,0,0,205,2306,339,2850,62620,65886,4,
486912782957996,103185414664070,"Philosophical Gym Bro","Actualización de estado","Dore is always so gud",0,"02/21/2022 14:02",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid02hjEAeHieSS7MpEWRexJg7MweEhGch15kHGvbAZZ37mCMXVcy1gw29vwKmDtV3bKtl,0,Foto,,,,,Total,0,0,11,2,,13,0,0,0,0,1,12,3,16,1119,1171,,
486969592952315,103185414664070,"Philosophical Gym Bro","Giant bear known as 'Hank the Tank' burglarizes another Lake Tahoe home; 40 break-ins since July","absolute unit",0,"02/21/2022 16:02",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid05Voqd1eY2SfJ3iShYhGmd8JBFUYkNj6sgW7H181BpTVjDAZF5A2hcHBNGeSxwMfZl,0,Enlace,,,,,Total,0,0,20,,18,38,0,0,0,0,2,40,3,45,1309,1401,,
487302769585664,103185414664070,"Philosophical Gym Bro","Actualización de estado",,0,"02/22/2022 04:02",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid0xcrzmShfG1s93QFFWsdjYthZVDPtTKX8CQH1DfSseJFHdPAeUTRC5uB5ksFLtRTEl,0,Foto,,,,,Total,0,0,81,66,,147,0,0,0,0,2,46,8,56,1964,2063,1,
487682696214338,103185414664070,"Philosophical Gym Bro",,,0,"02/22/2022 19:02",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid0ksigDQRK1zeVPUGFDCDkZ1RnkRJtHYLoX7ZHn9KK7JxKY4zk5HY19K8DCb5JUVvel,0,Foto,,,,,Total,0,0,1752,575,,2327,0,0,0,0,139,690,145,974,16796,17400,1,
488320592817215,103185414664070,"Philosophical Gym Bro",,"Guys WWIII just dropped!",0,"02/23/2022 21:02",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid02VPaGZSacfx78EiF8fdCd2SrfCEvoKRVZDoXDw7sQGXZfyaNQyFG93amLygcVoymxl,0,Foto,,,,,Total,0,0,3,9,,12,0,0,0,0,1,13,3,17,498,538,,
488325859483355,103185414664070,"Philosophical Gym Bro","Actualización de estado",,0,"02/23/2022 21:02",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid0h2iGXZFXHTU5DizhkTnghEjLKbVkrnFG9xH5pb7uZ6g9hDZ91nXB3umNea4bp5Tel,0,Foto,,,,,Total,0,0,32,24,,56,0,0,0,0,0,53,3,56,1628,1737,,
