"identificador de la publicación","Identificador de la página","Nombre de la página",Título,Descripción,"Duración (segundos)","Hora de publicación","Tipo de subtítulo","Enlace permanente","Se usa en varias publicaciones","Tipo de publicación",Idiomas,"Etiquetas personalizadas","Estado ""Contenido financiado""",Comentario,Fecha,"Otros clics","Visualizaciones de fotos","Clics en el enlace","Total de clics","Personas alcanzadas","Segundos reproducidos","Comentarios negativos únicos de los usuarios: Ocultar","Reproducciones de vídeo de 60 segundos","Segundos reproducidos de media","Reproducción de vídeo de 3 segundos",Comentarios,"Me gusta","Veces compartido",Interacciones,"Tiempo medio dedicado al artículo","Profundidad de desplazamiento diaria en el artículo",Impresiones,"Comentarios negativos únicos de los usuarios: Ocultar todo"
362466865402589,103185414664070,"Philosophical Gym Bro",,"Source: Kant and Freud on Morality, by Béatrice Longuenesse",0,"08/05/2021 16:08",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid0WFw2pD3VuouB6P6yxq2ZZDHcc6iaiJMS3GooXxi8KbwmnhECGiZEPCAFrhYbDXP6l,0,Foto,,,,,Total,,4,,4,454,0,,0,0,0,0,9,0,9,0,0,470,
362679328714676,103185414664070,"Philosophical Gym Bro",,"I have finally found it. The two genders",0,"08/06/2021 11:08",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid0qGWycLr8jVb3t7vezj62XV4LaHGoJ32KSCft2Tf3ampfN3nszyC3Agh3cge3U1gWl,0,Foto,,,,,Total,1,1,,2,336,0,,0,0,0,0,6,0,6,0,0,363,
363208298661779,103185414664070,"Philosophical Gym Bro",,"O.C. 
A brief Foray into politics - a topic which we do not hope to return to.",0,"08/07/2021 12:08",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid0iXmHNS3cs81nkMB2ipVuDT2BvudctGm8gzHnCSntk8j3xgswFeLfGgHEDM8htgS3l,0,Foto,,,,,Total,5,6,,11,511,0,,0,0,0,0,9,2,11,0,0,535,
364468175202458,103185414664070,"Philosophical Gym Bro","Actualización de estado",,0,"08/08/2021 16:08",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid0faxcfTe6trk5pGXtQemKyYMCntv9gw6u2BbMwF1kAL78o93oxXPDgD1H5GvtwR3el,0,Foto,,,,,Total,20,5,,25,631,0,1,0,0,0,0,28,4,32,0,0,647,
364556305193645,103185414664070,"Philosophical Gym Bro","Asian Spiritual Shitposting (ASS)",,0,"08/08/2021 19:08",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid06ssTxv94BpJLPt1wupasvN6f6zje3yJ9h4ohYm6CLULLr78dM9HVHS8zKibFWHgLl,0,Otro,,,,,Total,36,10,,46,751,0,1,0,0,0,0,34,4,38,0,0,779,
363210018661607,103185414664070,"Philosophical Gym Bro",,O.C.,0,"08/09/2021 10:08",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid02E96LY9cXdwwAkkxc7ZsyXrVex56o8Nvgq9RoP9fPC7XunRQYi7EQGbs63QTuc6kCl,0,Foto,,,,,Total,58,24,,82,3849,0,1,0,0,0,1,54,4,59,0,0,3849,
365185741797368,103185414664070,"Philosophical Gym Bro","Actualización de estado",,0,"08/09/2021 20:08",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid0ndBn9oCZJPPGamtPSLKMGT1irqRQ3WVWta534Xqw7uPzp1xVXUYkDbWYGTpxNyYBl,0,Foto,,,,,Total,2,1,,3,302,0,,0,0,0,0,9,1,10,0,0,316,
363213328661276,103185414664070,"Philosophical Gym Bro",,"Ya boi still on his Lacan Grind.
O.c, obviously",0,"08/10/2021 13:08",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid04joofT7yimU3ZTSLftkiMg46DH2qgctf238cnqXAxz7DQ9H1gi6UZjCbdbJSzy7Pl,0,Foto,,,,,Total,18,10,,28,1164,0,,0,0,0,3,20,3,26,0,0,1229,
365868618395747,103185414664070,"Philosophical Gym Bro","Actualización de estado",,0,"08/10/2021 22:08",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid02BddCeCJj3irB5bEnC3vXVPmpoDpsvxBFMYz74D7zD1iTT4p69A3bpLgi72PdCbDGl,0,Foto,,,,,Total,8,12,,20,361,0,,0,0,0,0,14,0,14,0,0,373,
363215495327726,103185414664070,"Philosophical Gym Bro",,"Autobiographical O.C.
Gymmin also got into Gandhi.",0,"08/11/2021 08:08",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid097wTT4PY32aqiDWS5rw6CxeYKy4PZGH3dENCVTPLPHB9GEMFchndbmerJy4MwYXMl,0,Foto,,,,,Total,42,10,,52,923,0,1,0,0,0,3,55,1,59,0,0,947,
