identificador de la publicación,Identificador de la página,Nombre de la página,Título,Descripción,Duración (segundos),Hora de publicación,Tipo de subtítulo,Enlace permanente,Se usa en varias publicaciones,Tipo de publicación,Idiomas,Etiquetas personalizadas,"Estado ""Contenido financiado""",Comentario,Fecha,Reproducción de vídeo de 3 segundos,Profundidad de desplazamiento diaria en el artículo,Personas alcanzadas,Tiempo medio dedicado al artículo,Impresiones,Segundos reproducidos,Reproducciones de vídeo de 60 segundos,Otros clics,Clics en el enlace,Visualizaciones de fotos,Total de clics,Segundos reproducidos de media,Comentarios,Me gusta,Veces compartido,Interacciones,Comentarios negativos únicos de los usuarios: Ocultar todo,Comentarios negativos únicos de los usuarios: Ocultar
5.99595E+14,1.03185E+14,Philosophical Gym Bro,Actualización de estado,"acSHUAlly, voting is the highest form of avant-garde nihilist performative meme art",0,8/14/2022 16:08,N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid0fQuChTw7pDqbcTNupnRQdBeFS91wEKgXooSLbqvnBisLA7fuErWqqQsgt3RXrZSql,0,Foto,,,,,Total,0,0,1938,0,1999,0,0,49,1,31,81,0,0,47,9,56,,
5.99744E+14,1.03185E+14,Philosophical Gym Bro,Actualización de estado,,0,8/14/2022 22:08,N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid02jJXa6xKLPxptiY2RmTTdM6DTCdLtzAw6VNG9CXbyx5juKpr44dnLSrMz6kbQqH9bl,0,Foto,,,,,Total,0,0,2477,0,2565,0,0,79,,59,138,0,1,34,9,44,,
4.87626E+14,1.03185E+14,Philosophical Gym Bro,Actualización de estado,You will get these hands my friend,0,8/15/2022 09:08,N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid0263NMnMsEtcQMmbJfL5JzYh7sXJ1wZq9mHnyx1pp8NKov2hsoEHH33hc96A9wfoLXl,0,Foto,,,,,Total,0,0,3504,0,3604,0,0,162,,122,284,0,3,93,19,115,,
4.88332E+14,1.03185E+14,Philosophical Gym Bro,Actualización de estado,,0,8/16/2022 10:08,N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid0agZj6N3Fkgt28Xa6AT6sgGH4Fy5Xi6NUd6B18uM5Mb1dRsWPyQiJYmo84BZYJgPUl,0,Foto,,,,,Total,0,0,2454,0,2595,0,0,174,,105,279,0,3,67,10,80,,
4.88368E+14,1.03185E+14,Philosophical Gym Bro,Actualización de estado,,0,8/16/2022 11:08,N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid037pTmgTSKqbmpjeDEVGKhvRsxAC24E7qsgD5C1fEkTX63ubJLbcjvz2PGRt8fVxofl,0,Texto,,,,,Total,0,0,1456,0,1525,0,0,67,,,67,0,0,18,1,19,,
4.88499E+14,1.03185E+14,Philosophical Gym Bro,Asian Spiritual Shitposting (ASS),,0,8/16/2022 16:08,N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid09eBPB5pVNEcUUEdS1RUnboKjQxbtjgJrdGjLuWNJw5zDjbJzvyPZFM8NYXgvvc2Vl,0,Otro,,,,,Total,0,0,1637,0,1725,0,0,24,,148,172,0,0,26,5,31,,
4.88613E+14,1.03185E+14,Philosophical Gym Bro,Actualización de estado,,0,8/16/2022 20:08,N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid02j4STioxQdz5CjP1fV3hz7VcVKQ3Jb89aA2pi7GMGtJvGbg21EJEfHV4LeSgSe7Rul,0,Foto,,,,,Total,0,0,1723,0,1862,0,0,53,,89,142,0,2,35,9,46,,
4.88626E+14,1.03185E+14,Philosophical Gym Bro,,"Sorry for the textwall. Source is Madness and Civilization, pp. 22-23.",0,8/16/2022 21:08,N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid037NUEaDoxtTCyisF5xX7xuyjRHHCqGSBTJ6CGwv5KFZxDgbZ8bhJvJW5LsDdozrasl,0,Foto,,,,,Total,0,0,6610,0,6655,0,0,81,,197,278,0,1,77,27,105,,
4.8906E+14,1.03185E+14,Philosophical Gym Bro,Actualización de estado,Found in the Archives,0,8/17/2022 10:08,N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid02AC4uV3JX1uWnG6vqD7wppSnYziR7EyhdNyf7uDooE45PbXjkGp5coDT7FTivNQ7Cl,0,Foto,,,,,Total,0,0,4090,0,4237,0,0,294,,414,708,0,9,178,26,213,,
4.89137E+14,1.03185E+14,Philosophical Gym Bro,,"Alexa, play the faculty-scaring philosophy. OC",0,8/17/2022 13:08,N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid02puD5kFWCbkjktczTZkxHMroVqbtXjBxiKJtoXRf9eoqoHCynqMajUkdyEeyPNyuvl,0,Foto,,,,,Total,0,0,130003,0,136221,0,0,11843,,9036,20879,0,723,3701,538,4962,2,2
