"identificador de la publicación","Identificador de la página","Nombre de la página",Título,Descripción,"Duración (segundos)","Hora de publicación","Tipo de subtítulo","Enlace permanente","Se usa en varias publicaciones","Tipo de publicación",Idiomas,"Etiquetas personalizadas","Estado ""Contenido financiado""",Comentario,Fecha,Impresiones,"Reproducciones de vídeo de 60 segundos","Segundos reproducidos","Segundos reproducidos de media",Comentarios,"Me gusta","Veces compartido",Interacciones,"Reproducción de vídeo de 3 segundos","Tiempo medio dedicado al artículo","Total de clics","Personas alcanzadas","Otros clics","Visualizaciones de fotos","Profundidad de desplazamiento diaria en el artículo","Clics en el enlace","Comentarios negativos únicos de los usuarios: Ocultar","Comentarios negativos únicos de los usuarios: Ocultar todo"
302535354729074,103185414664070,"Philosophical Gym Bro","Actualización de estado",,0,"04/30/2021 23:04",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid02AYijahDe9ZBfoKnkzDY5XJzJ5fEKHFPdaxPGy31P1Am5rbj8TyJaFCEGCj6z8Xkpl,0,Foto,,,,,Total,318,0,0,0,0,18,2,20,0,0,17,315,5,12,0,,,
302555604727049,103185414664070,"Philosophical Gym Bro",,"When your dog eats your existentialism homework.
Mildly cringy O.C.",0,"05/01/2021 00:05",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid02Yb2MsgkYsesmuemePBVEscWk9AhZqyQHghM8D9NpxvkagQjdycLwXvqR653u8FwFl,0,Foto,,,,,Total,655,0,0,0,3,15,5,23,0,0,18,632,15,3,0,,,
303131831336093,103185414664070,"Philosophical Gym Bro","Actualización de estado",,0,"05/01/2021 23:05",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid0vbUQzvdevvCrJ1ct38yNN3NsFebmDdkE1EG9HBwXYDU8xaxUoCuRCkY2XjHUufRLl,0,Foto,,,,,Total,684,0,0,0,2,27,4,33,0,0,48,682,23,25,0,,,
303689171280359,103185414664070,"Philosophical Gym Bro","Actualización de estado",,0,"05/02/2021 18:05",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid02LejyiD8HnBYCBK14hfDzDAvoguB97oz64MMS4G6hwx5zPL18xJa78UwPxgf7fqCKl,0,Foto,,,,,Total,436,0,0,0,0,17,4,21,0,0,26,429,10,16,0,,,
303799751269301,103185414664070,"Philosophical Gym Bro","Actualización de estado",,0,"05/02/2021 23:05",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid0N3ZK2AtaN8LfuQAgnGp38JSs5xEZc6JEAKDC9DoQwZJqtARvFXdLhayme91rsHiUl,0,Foto,,,,,Total,364,0,0,0,0,6,0,6,0,0,15,347,10,5,0,,,
304339737881969,103185414664070,"Philosophical Gym Bro","Actualización de estado",,0,"05/03/2021 21:05",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid02xNTU5aos7RnsZEKDQgGz24Pwz7HQ5BbT7PjJe4ee92yYmVxcqWERvzxQFDW4y739l,0,Foto,,,,,Total,470,0,0,0,0,14,2,16,0,0,28,456,17,11,0,,,
305618867754056,103185414664070,"Philosophical Gym Bro","Actualización de estado",,0,"05/05/2021 14:05",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid02jQmGEcy79JWP9Pfn5WhXhRnyf1zmWsrhfg5ziiuoaL79QNLyytRME2nCBdettefrl,0,Foto,,,,,Total,561,0,0,0,1,30,3,34,0,0,42,552,27,15,0,,,
305858094396800,103185414664070,"Philosophical Gym Bro","Actualización de estado",,0,"05/06/2021 00:05",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid0WQzo2GKtofqgSb8AfrrUEVHB7yZSrT18hsx552KXRwv3LPuvXpV3MZFEFMdM8RK6l,0,Foto,,,,,Total,406,0,0,0,0,8,0,8,0,0,11,401,9,2,0,,,
306093874373222,103185414664070,"Philosophical Gym Bro",,"Found in the wild.",0,"05/06/2021 09:05",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid0262WL2rTfHuDZ8ajqbN5i9z5vez8s7JvgArKZEpoW6cWoRTYydRZ2tEEMuK9pJqual,0,Foto,,,,,Total,489,0,0,0,0,14,3,17,0,0,18,474,7,11,0,,,
306193561029920,103185414664070,"Philosophical Gym Bro","Actualización de estado",Hmmm...,181,"05/06/2021 13:05",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid02PRVsmJTSVzCsSzhBNsqBbLvzsMyScJSxT8pfL9ERpYPicBm6qDFVhLHVnxRygqdKl,0,Vídeo,,,,,Total,304,44,0,0,0,2,0,2,116,0,20,290,20,,0,,,
