"identificador de la publicación","Identificador de la página","Nombre de la página",Título,Descripción,"Duración (segundos)","Hora de publicación","Tipo de subtítulo","Enlace permanente","Se usa en varias publicaciones","Tipo de publicación",Idiomas,"Etiquetas personalizadas","Estado ""Contenido financiado""",Comentario,Fecha,"Profundidad de desplazamiento diaria en el artículo","Tiempo medio dedicado al artículo","Otros clics","Visualizaciones de fotos","Total de clics","Segundos reproducidos de media","Reproducciones de vídeo de 60 segundos","Reproducción de vídeo de 3 segundos","Segundos reproducidos",Comentarios,"Me gusta","Veces compartido",Interacciones,"Personas alcanzadas",Impresiones,"Comentarios negativos únicos de los usuarios: Ocultar","Clics en el enlace","Comentarios negativos únicos de los usuarios: Ocultar todo"
551645086964045,103185414664070,"Philosophical Gym Bro",,"Submitted by a fan",0,"10/29/2022 05:10",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid0284LFLBYmLRjxt4qAT39wkz5QvnhhA3VsDWmSwZgiyeHNMmU9GPvfhXZtZWN7ZpkKl,0,Foto,,,,,Total,0,0,30,,30,0,0,0,0,1,21,0,22,248,272,,,
553542266774327,103185414664070,"Philosophical Gym Bro","Actualización de estado",,0,"10/30/2022 01:10",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid02n12SE9DGuirAknAr55zxsYxTts4jDd95GsuYH7YStzQMC3w8T2A6QkG6Ri7Ryrxbl,0,Foto,,,,,Total,0,0,25,28,53,0,0,0,0,0,26,3,29,2000,2000,,,
555703539891533,103185414664070,"Philosophical Gym Bro","Actualización de estado",,0,"11/01/2022 12:11",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid02bQVzcxxYp6PBapmM3kAenKaWYRVAiLwmFDCJzR2sEqQRDQjCLR5rJ7GM865FvYwBl,0,Foto,,,,,Total,0,0,29,41,70,0,0,0,0,0,17,3,20,1842,1900,,,
555941169867770,103185414664070,"Philosophical Gym Bro","Actualización de estado",,0,"11/01/2022 20:11",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid02P6V5qvW38dFgEhRmzpJsSgUqWbvGggsx9R7CM9jdrRHw9mW4qrH3xtfdGUYVDenpl,0,Foto,,,,,Total,0,0,51,62,113,0,0,0,0,0,53,9,62,1432,1444,,,
556235843171636,103185414664070,"Philosophical Gym Bro",,OC,0,"11/02/2022 05:11",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid02Ps3S2cS5ua2CsDz8UaoBa2zJ5pZfMdLBRGoR6Jj5kDbBRGHrDLLxg6Uhczug5LTRl,0,Foto,,,,,Total,0,0,236,164,400,0,0,0,0,14,176,23,213,4286,4286,,,
557074019754485,103185414664070,"Philosophical Gym Bro",,"Not pictured: Me complaining about automated chashiers literally everytime I go to the store
OC",0,"11/03/2022 05:11",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid0sDKYjarhukptQeDPeEn6vzexFqx578TL5Nm9zph9U6xTxW5iTWTHTWmFCKF4nBitl,0,Foto,,,,,Total,0,0,41,15,56,0,0,0,0,3,29,2,34,1290,1294,,,
558237072971513,103185414664070,"Philosophical Gym Bro",,OC,0,"11/04/2022 10:11",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid02EUXBN7Ko4EbGHW5dM8WCWR4zC7F7WDndUT8PK3XEn6xtRDpxoeyD7jHk7WD2Sbppl,0,Foto,,,,,Total,0,0,515,298,813,0,0,0,0,33,624,86,743,13176,14253,,,
558362066292347,103185414664070,"Philosophical Gym Bro","Actualización de estado",,0,"11/04/2022 14:11",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid078btTh7p1TBZwUYAnEhFHJqssPPqcAu7znBdq7JuJE3Xy497ZBbgHU5nnp2vHeupl,0,Foto,,,,,Total,0,0,61,48,109,0,0,0,0,3,59,4,66,1941,1952,,,
558502129611674,103185414664070,"Philosophical Gym Bro","Actualización de estado",,0,"11/04/2022 18:11",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid036aGseVZJBpYUZJ8DLC2hSqYTfNjLrF9cBEkN36gGtxKd1Ztj1BSzFJWWM8H6YUL5l,0,Foto,,,,,Total,0,0,80,116,209,0,0,0,0,1,24,3,28,2301,2354,,13,
558837479578139,103185414664070,"Philosophical Gym Bro",,OC,0,"11/05/2022 04:11",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid02GiGAheJx87tKsLXYZjSCYbb2Dvh4CmkKUbUfr8HXegczjYBiVmUKNh38ugxWZFwol,0,Foto,,,,,Total,0,0,97,61,158,0,0,0,0,3,66,14,83,2963,3014,,,
559198469542040,103185414664070,"Philosophical Gym Bro","Actualización de estado",,0,"11/05/2022 15:11",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid0BUmXMeoRcgVBTZJ7EEkhx1mHwn2xYuvNQPmnSHKfxMdALmhv9gfffYaqA14u44cpl,0,Foto,,,,,Total,0,0,102,121,223,0,0,0,0,1,154,23,178,3240,3329,,,
559375842857636,103185414664070,"Philosophical Gym Bro","Scientific Methodposting","I like that this is not even a bad playlist",0,"11/05/2022 21:11",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid02pa6dC24jyWovusxbZnFhPeRAecRpSXXf5yFZP5AtoKY5ZFRLJaVcimzUUSmnhuiol,0,Otro,,,,,Total,0,0,123,516,639,0,0,0,0,6,59,9,74,3391,3439,,,
559384239523463,103185414664070,"Philosophical Gym Bro","Actualización de estado",,0,"11/05/2022 21:11",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid02sHFX3f8Ru71Rxg7x4RWMbDskZGeJUVo4PNAjimZEamPtrQeLqkvZZu3TmubAmJgwl,0,Foto,,,,,Total,0,0,45,67,112,0,0,0,0,0,43,5,48,1998,2031,,,
559425749519312,103185414664070,"Philosophical Gym Bro","Fotos de la biografía",,0,"11/05/2022 22:11",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid026nqN92FYP6YwMspEwXSVUirY1BqoimMYBWvXXF3Kyf72EsohAzhz7Uy4D6bHpPLMl,0,Foto,,,,,Total,0,0,20,21,41,0,0,0,0,0,21,2,23,1011,1035,,,
559430349518852,103185414664070,"Philosophical Gym Bro",,OC,0,"11/05/2022 22:11",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid02W84F33XqyFU443x7MqTSyxhj75sT5N1yXCHpx9Mz97caofP9PebnCG45KizPiENnl,0,Foto,,,,,Total,0,0,4,1,5,0,0,0,0,0,5,1,6,563,574,,,
559801512815069,103185414664070,"Philosophical Gym Bro",,"O.c. submitted by one of it coolest fans.",0,"11/06/2022 08:11",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid027yXYVGLgVEDD5eBxszMuHJgruRpKwiK4pTvdRV2uwwcMxxgZibWwiUuAqqFQXhh2l,0,Foto,,,,,Total,0,0,277,1303,1580,0,0,0,0,16,249,33,298,8592,9001,,,
560005526128001,103185414664070,"Philosophical Gym Bro","Actualización de estado",,0,"11/06/2022 14:11",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid02PvRmTfBzr7Fc36S82tNzaNdj8VXDPU1BDFXf33pDHXHVzMGCWzHpjYrdVManxJLKl,0,Foto,,,,,Total,0,0,42,56,99,0,0,0,0,0,31,12,43,1907,1985,,1,
560438816084672,103185414664070,"Philosophical Gym Bro",,OC,0,"11/07/2022 04:11",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid02wKcgYannBGQU3JmvyybqRsUUgGXv3NRKgVjW4fvDib68K5zzG667bwSjwoj8hBvSl,0,Foto,,,,,Total,0,0,97,1072,1169,0,0,0,0,2,124,11,137,6947,7169,,,
560759996052554,103185414664070,"Philosophical Gym Bro","Actualización de estado",,10,"11/07/2022 11:11",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid02pVqbG7dXmb4FzHSEckJWbTe7BT3r4JqgykK9xEGmsXDyxwCUB8QJm2dfqN4KFcXSl,0,Vídeo,,,,,Total,0,0,112,,112,0,0,485,0,1,25,0,26,1039,1055,,,
560997412695479,103185414664070,"Philosophical Gym Bro",,"Low-hanging Fruit O.C.",0,"11/07/2022 18:11",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid0o1fyhS3WiYbtXArfeoWgtx4GDZvVuoDKJZeHzYvUcBwWCFbJUSDUuMoDUvaTUMEQl,0,Foto,,,,,Total,0,0,39,94,133,0,0,0,0,4,167,25,196,5387,5398,,,
562219965906557,103185414664070,"Philosophical Gym Bro",,OC,0,"11/09/2022 05:11",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid0RABQsGbC4TLotjks8SHRQSuSzRNm3d6epsLt1oW29DZ3U5rpJEtn68H2ZwJKzfGcl,0,Foto,,,,,Total,0,0,218,1242,1460,0,0,0,0,3,46,6,55,3612,3670,,,
562661965862357,103185414664070,"Philosophical Gym Bro",,,0,"11/09/2022 17:11",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid0V2PVmM4W124oR2d7wKe2a5D8h3rWr8P7wfei4cmToLuNw518Btro4G6oTDC1Yjggl,0,Foto,,,,,Total,0,0,65,751,816,0,0,0,0,0,83,11,94,3471,3602,,,
562662769195610,103185414664070,"Philosophical Gym Bro","Actualización de estado",,0,"11/09/2022 17:11",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid0mDGUJSssMgLDdsQWeKcPoK1ZZG9Q39rTznRThjn3cf7nKtHAQr49kQYPCRDkk3RAl,0,Foto,,,,,Total,0,0,69,96,165,0,0,0,0,0,78,11,89,2896,3007,,,
562663679195519,103185414664070,"Philosophical Gym Bro","Actualización de estado",,0,"11/09/2022 17:11",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid0yGDHgkpamACXEutE9knGXdD55dvaoS1LH8NLPLBr5jCkqbg11jW99KPbUPGG3A5vl,0,Foto,,,,,Total,0,0,28,47,75,0,0,0,0,0,23,3,26,1604,1649,,,
563589055769648,103185414664070,"Philosophical Gym Bro","Actualización de estado","Bob Esponja a psyop to infect children with epicureanism?
It's more likely than you think.",0,"11/10/2022 18:11",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid0gEdEz2kdWgCZWJnUz7SWNE6b1cb9LaXJV9NjdPbiKeWH1FubEp6EmG99Vp2Vqm7Jl,0,Foto,,,,,Total,0,0,104,45,149,0,0,0,0,1,35,5,41,1430,1479,,,
563622415766312,103185414664070,"Philosophical Gym Bro",,"Could one of y'all carry this over to our neighbors in Hell/unknowable angels Facebook?",0,"11/10/2022 19:11",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid0AaM7cNXbzhiZNJwJVybZgeTCEAWd82cJdJoqf3XhVx7nfEfuujJCEq8Qoy3BkQU8l,0,Foto,,,,,Total,0,0,33,182,215,0,0,0,0,2,17,3,22,1394,1468,,,
565277645600789,103185414664070,"Philosophical Gym Bro","Actualización de estado",,0,"11/12/2022 18:11",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid023Q9Vi1ySPWei5vwyPvWDMPQXHowiAAU8jS3G2AWRoP4Z4CpPNcnRVLkJwytdEMEdl,0,Foto,,,,,Total,0,0,32,39,71,0,0,0,0,0,37,3,40,1772,1853,,,
566570055471548,103185414664070,"Philosophical Gym Bro","Actualización de estado",,0,"11/14/2022 07:11",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid0KYJCaWThoZ5RLb9waho8SFh1pLDNocLA6KjPWHUApyAjoyCHc8BmLHQDywRGHu73l,0,Foto,,,,,Total,0,0,63,61,124,0,0,0,0,2,55,9,66,2366,2449,,,
